Provinsi/Kabupaten/Kota,
,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen)
,2025
ACEH,12.33
Simeulue,15.52
Aceh Singkil,17.07
Aceh Selatan,9.89
Aceh Tenggara,9.78
Aceh Timur,11.24
Aceh Tengah,12.29
Aceh Barat,15.5
Aceh Besar,11.05
Pidie,16.46
Bireuen,10.3
Aceh Utara,14.27
Aceh Barat Daya,13.3
Gayo Lues,16.77
Aceh Tamiang,10.84
Nagan Raya,15.42
Aceh Jaya,10.37
Bener Meriah,16.2
Pidie Jaya,16.12
Kota Banda Aceh,5.45
Kota Sabang,12.75
Kota Langsa,8.59
Kota Lhokseumawe,9.01
Kota Subulussalam,13.88
SUMATERA UTARA,7.36
Nias,14.51
Mandailing Natal,7.91
Tapanuli Selatan,6.16
Tapanuli Tengah,11.03
Tapanuli Utara,7.47
Toba Samosir,7.21
Labuhan Batu,7.37
Asahan,7.18
Simalungun,6.91
Dairi,6.98
Karo,6.66
Deli Serdang,3.11
Langkat,8.42
Nias Selatan,16.16
Humbang Hasundutan,7.8
Pakpak Bharat,6.4
Samosir,10.79
Serdang Bedagai,6.18
Batu Bara,10.1
Padang Lawas Utara,8.04
Padang Lawas,7.32
Labuhan Batu Selatan,6.8
Labuhan Batu Utara,8.42
Nias Utara,20.79
Nias Barat,22.47
Kota Sibolga,10.28
Kota Tanjung Balai,10.67
Kota Pematang Siantar,6.24
Kota Tebing Tinggi,8.74
Kota Medan,7.25
Kota Binjai,4.71
Kota Padangsidimpuan,5.61
Kota Gunungsitoli,13.85
SUMATERA BARAT,5.35
Kepulauan Mentawai,13.22
Pesisir Selatan,6.52
Solok,6.52
Sijunjung,5.15
Tanah Datar,3.59
Padang Pariaman,5.86
Agam,5.97
Lima Puluh Kota,6.1
Pasaman,6.02
Solok Selatan,6
Dharmasraya,4.61
Pasaman Barat,6.3
Kota Padang,3.63
Kota Solok,2.91
Kota Sawah Lunto,2.72
Kota Padang Panjang,4.97
Kota Bukittinggi,3.78
Kota Payakumbuh,4.95
Kota Pariaman,3.83
RIAU,6.16
Kuantan Singingi,6.99
Indragiri Hulu,5.83
Indragiri Hilir,4.95
Pelalawan,7.24
Siak,4.4
Kampar,6.29
Rokan Hulu,8.71
Bengkalis,6.08
Rokan Hilir,7.16
Kepulauan Meranti,20.51
Kota Pekanbaru,3.19
Kota Dumai,3.08
JAMBI,7.19
Kerinci,7.48
Merangin,8.07
Sarolangun,8.74
Batang Hari,8.27
Muaro Jambi,4.32
Tanjung Jabung Timur,9.96
Tanjung Jabung Barat,9.67
Tebo,5.97
Bungo,5.17
Kota Jambi,7.69
Kota Sungai Penuh,3.23
SUMATERA SELATAN,10.15
Ogan Komering Ulu,10.08
Ogan Komering Ilir,11.84
Muara Enim,9.45
Lahat,13.69
Musi Rawas,12.67
Musi Banyuasin,9.97
Banyu Asin,8.48
Ogan Komering Ulu Selatan,9.17
Ogan Komering Ulu Timur,8.86
Ogan Ilir,11.69
Empat Lawang,10.48
Penukal Abab Lematang Ilir,9.27
Musi Rawas Utara,15.25
Kota Palembang,9.04
Kota Prabumulih,9.75
Kota Pagar Alam,7.7
Kota Lubuklinggau,10.49
BENGKULU,12.08
Bengkulu Selatan,15.72
Rejang Lebong,11.71
Bengkulu Utara,10.07
Kaur,15.82
Seluma,15.98
Mukomuko,10.05
Lebong,10.1
Kepahiang,10.38
Bengkulu Tengah,9.74
Kota Bengkulu,11.91
LAMPUNG,10
Lampung Barat,9.93
Tanggamus,10.1
Lampung Selatan,12.05
Lampung Timur,12.15
Lampung Tengah,9.59
Lampung Utara,15.78
Way Kanan,9.36
Tulangbawang,7.54
Pesawaran,10.93
Pringsewu,7.6
Mesuji,5.92
Tulang Bawang Barat,6.72
Pesisir Barat,12.13
Kota Bandar Lampung,6.95
Kota Metro,6.44
KEP. BANGKA BELITUNG,5
Bangka,4.71
Belitung,6.44
Bangka Barat,2.92
Bangka Tengah,6.7
Bangka Selatan,4.17
Belitung Timur,6.69
Kota Pangkal Pinang,4.5
KEPULAUAN RIAU,4.44
Karimun,5.16
Bintan,4.77
Natuna,4.81
Lingga,9.12
Kepulauan Anambas,6.35
Kota Batam,3.81
Kota Tanjung Pinang,5.96
DKI JAKARTA,4.28
Kepulauan Seribu,12.37
Kota Jakarta Selatan,3.23
Kota Jakarta Timur,3.94
Kota Jakarta Pusat,4.7
Kota Jakarta Barat,3.91
Kota Jakarta Utara,6.33
JAWA BARAT,7.02
Bogor,6.26
Sukabumi,6.41
Cianjur,9.82
Bandung,6.04
Garut,9.39
Tasikmalaya,10.15
Ciamis,7.19
Kuningan,10.74
Cirebon,10.23
Majalengka,10.31
Sumedang,8.81
Indramayu,11.02
Subang,9.23
Purwakarta,7.87
Karawang,7.08
Bekasi,4.36
Bandung Barat,9.87
Pangandaran,8.03
Kota Bogor,5.89
Kota Sukabumi,6.9
Kota Bandung,3.78
Kota Cirebon,8.66
Kota Bekasi,3.96
Kota Depok,2.31
Kota Cimahi,4.2
Kota Tasikmalaya,10.84
Kota Banjar,5.73
JAWA TENGAH,9.48
Cilacap,9.41
Banyumas,11.15
Purbalingga,12.55
Banjarnegara,13.28
Kebumen,13.58
Purworejo,10.06
