no,provinsi,jumlahsppg
1,ACEH,702
2,SUMATERA UTARA,1394
3,SUMATERA BARAT,422
4,RIAU,951
5,JAMBI,211
6,SUMATERA SELATAN,818
7,BENGKULU,153
8,LAMPUNG,1149
9,KEPULAUAN BANGKA BELITUNG,104
10,KEPULAUAN RIAU,234
11,DKI JAKARTA,619
12,JAWA BARAT,6313
13,JAWA TENGAH,4295
14,DI YOGYAKARTA,0
15,JAWA TIMUR,4017
16,BANTEN,1339
17,BALI,461
18,NUSA TENGGARA BARAT,815
19,NUSA TENGGARA TIMUR,274
20,KALIMANTAN BARAT,497
21,KALIMANTAN TENGAH,102
22,KALIMANTAN SELATAN,291
23,KALIMANTAN TIMUR,217
24,KALIMANTAN UTARA,59
25,SULAWESI UTARA,183
26,SULAWESI TENGAH,228
27,SULAWESI SELATAN,828
28,SULAWESI TENGGARA,275
29,GORONTALO,91
30,SULAWESI BARAT,180
31,MALUKU,217
32,MALUKU UTARA,109
33,PAPUA,149
34,PAPUA BARAT,82
35,PAPUA SELATAN,19
36,PAPUA TENGAH,34
37,PAPUA PEGUNUNGAN,13
38,PAPUA BARAT DAYA,33
