provinsi,stunting_pct,kemiskinan_pct,jumlah_sppg,prioritas
ACEH,28.6,12.33,702,Prioritas Tinggi
SULAWESITENGAH,26.1,10.92,228,Prioritas Tinggi
SULAWESIBARAT,35.4,10.41,180,Prioritas Tinggi
GORONTALO,23.9,13.24,91,Prioritas Tinggi
MALUKU,28.3,15.38,217,Prioritas Tinggi
SULAWESITENGGARA,26.1,10.54,275,Prioritas Tinggi
NUSATENGGARATIMUR,37.0,18.6,274,Prioritas Tinggi
NUSATENGGARABARAT,29.8,11.78,815,Prioritas Tinggi
PAPUASELATAN,25.7,19.71,19,Prioritas Tinggi
PAPUA,24.7,19.16,149,Prioritas Tinggi
PAPUAPEGUNUNGAN,24.7,30.03,13,Prioritas Tinggi
PAPUATENGAH,24.7,28.9,34,Prioritas Tinggi
PAPUABARATDAYA,30.5,17.95,33,Prioritas Tinggi
PAPUABARAT,24.7,20.66,82,Prioritas Tinggi
KEPULAUANBANGKABELITUNG,20.1,5.0,104,Prioritas Sedang
SUMATERAUTARA,22.0,7.36,1394,Prioritas Sedang
KALIMANTANUTARA,17.6,5.54,59,Prioritas Sedang
KALIMANTANTIMUR,22.3,5.17,217,Prioritas Sedang
KALIMANTANSELATAN,22.9,3.84,291,Prioritas Sedang
BANTEN,21.1,5.63,1339,Prioritas Sedang
DIYOGYAKARTA,17.4,10.23,208,Prioritas Sedang
DKIJAKARTA,17.2,4.28,619,Prioritas Sedang
KEPULAUANRIAU,15.0,4.44,234,Prioritas Sedang
BALI,8.6,3.72,461,Prioritas Sedang
KALIMANTANBARAT,26.8,6.16,497,Prioritas Sedang
SULAWESIUTARA,20.8,6.71,183,Prioritas Sedang
SUMATERABARAT,24.9,5.35,422,Prioritas Sedang
RIAU,20.1,6.16,951,Prioritas Sedang
JAMBI,17.1,7.19,211,Prioritas Sedang
SUMATERASELATAN,15.8,10.15,818,Prioritas Sedang
BENGKULU,18.8,12.08,153,Prioritas Sedang
LAMPUNG,15.9,10.0,1149,Prioritas Sedang
KALIMANTANTENGAH,22.1,5.19,102,Prioritas Sedang
SULAWESISELATAN,23.2,7.6,828,Prioritas Sedang
MALUKUUTARA,23.2,5.81,109,Prioritas Sedang
JAWATIMUR,14.7,9.5,4017,Prioritas Rendah
JAWATENGAH,17.0,9.48,4295,Prioritas Rendah
JAWABARAT,15.9,7.02,6313,Prioritas Rendah
